Name,Quelle,Gruppe,Volk,Klasse,Stufe,Fähigkeiten,Upgrade,KÖR,AGI,GEI,ST,BE,VE,HÄ,GE,AU,Lebenskraft,Initiative,Laufen,Abwehr,Schlagen,Schiessen,Zauber,Zielzauber,GH,GK,EP,Talente,Fähigkeiten Schlüssel,Waffen,Panzerung,Ausrüstung,Zaubersprüche
Adler,Dungeonslayers Basisbox,Tiere,,,,,,3,8,1,1,3,0,0,1,1,7,11,5,4,5,9,,,1,kl,52,"Fliegen, Natürliche Waffen, Sturzangriff","Fliegen: DS4CreatureTalent.fly.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturzangriff: DS4CreatureTalent.stuka.description",Krallen (WB+1),Federkleid (PA+1),,
Aensteiner Soldat,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,8,4,2,2,0,2,4,0,20,11,5,14,12,14,,,2,no,55,"Fieser Schuss I, Kämpfer I, Parade I, Schütze I, Wahrnehmung I","Fieser Schuss I: DS4Talent.meanshot.description, Kämpfer I: DS4Talent.fighter.description, Parade I: DS4Talent.parade.description, Schütze I: DS4Talent.shooter.description, Wahrnehmung I: DS4Talent.perception.description","Kurzbogen (2h) (WB+1, INI+1), Speer (WB+1)","Lederpanzer (PA+1), Holzschild (PA+1), Lederschienen (Arm & Bein) (PA+1)",,
Aensteiner Wilderer,Slayerforum,Mensch,Mensch,SPÄ,1,Talentiert,,6,8,6,2,1,1,1,5,0,17,10,5,7,8,15,,,1,no,49,"Fieser Schuss I, Heimlichkeit I, Jäger I, Wahrnehmung I, Wissensgebiet I","Fieser Schuss I: DS4Talent.meanshot.description, Heimlichkeit I: DS4Talent.creepy.description, Jäger I: DS4Talent.hunter.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description","Langbogen (2h) (WB+2, INI+1)",,,
Airigh,Das Umbarla-Becken,Mensch,Mensch,Zau,7,Talentiert,,6,6,8,0,0,6,0,4,6,16,6,4,6,7,10,14,13,1,no,72,"Magieresistent III, Feuermagier II, Bildung II, Wechsler II, Zaubermacht II, Runenkunde I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I","Magieresistent III: DS4Talent.magicresistent.description, Feuermagier II: DS4Talent.firemage.description, Bildung II: DS4Talent.education.description, Wechsler II: DS4Talent.changer.description, Zaubermacht II: DS4Talent.powerofmagic.description, Runenkunde I: DS4Talent.runeknowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1, Zauber: Teleport eingebettet)",Robe (runenbestickt) (Aura +1),,"Feuerlanze (+4), Feuerstrahl (+3), Flammenklinge (+2), Giftbann (0), Giftschutz (0), Licht (+5), Magie entdecken (0), Magie identifizieren (0), Tiere besänftigen (-LK/5)"
Akyna,SC2GO,Mensch,Mensch,Zau,1,Talentiert,,6,6,8,0,0,3,2,3,3,21,6,4,8,7,9,,13,1,no,56,"Bildung I, Einstecker I","Bildung I: DS4Talent.education.description, Einstecker I: DS4Talent.endurance.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,Feuerstrahl (+1)
Al-Nuzzran,Der verdorbene Baumherr,Mensch,Mensch,DÄM,,Talentiert,,6,6,9,2,8,5,0,0,7,19,14,4,6,8,6,16,9,1,no,100,"Diener der Dunkelheit V, Beschwörer III, Zaubermacht III, Verheerer II, Einstecker I, Bändiger I, Meister seiner Klasse I, Feuermagier I","Diener der Dunkelheit V: DS4Talent.servantofdarkness.description, Beschwörer III: DS4Talent.evocator.description, Zaubermacht III: DS4Talent.powerofmagic.description, Verheerer II: DS4Talent.ravage.description, Einstecker I: DS4Talent.endurance.description, Bändiger I: DS4Talent.tamer.description, Meister seiner Klasse I: DS4Talent.masterofhisclass.description, Feuermagier I: DS4Talent.firemage.description",,,,"Blut kochen (-(KÖR+AU)/2), Dämonen beschwören (-(KÖR+AU)+BB), Ebenentor (-8), Erdspalt (-4), Feuerstrahl (+2), Flammeninferno (+6), Halt (-(KÖR+AU)/2), Kontrollieren (-(GEI+AU)/2), Schattenlanze (+5), Schattenpfeil (+2), Trugbild (-2), Versetzte Stimme (-1/10m), Wächter (0), Zaubertrick (0), Zombies erwecken (0)"
Alligator,Dungeonslayers Basisbox,Tiere,,,,,,12,10,1,2,5,0,4,0,0,78,15,9.5,18,16,10,,,10,gr,151,"Natürliche Waffen, Schwimmen, Sturmangriff","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schwimmen: DS4CreatureTalent.swim.description, Sturmangriff: DS4CreatureTalent.charge.description","Großer Biss (WB+2, GA-2)",Schuppenpanzer (PA+2),,
Anarioth 'Der Sturmrufer',Das Volk der Sturmelfen,Elf,Elf,Zau,1,"Nachtsicht, Unsterblich, Zielsicher",,5,7,8,0,0,2,0,5,4,15,7,4.5,5,6,13,,16,1,no,50,"Blitzmacher I, Freie Talentpunkte I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I","Blitzmacher I: DS4Talent.boltthrower.description, Freie Talentpunkte I: DS4Talent.placeholder.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,Schock (+1)
Angischer Clanskrieger,Slayerforum,Mensch,Mensch,KRI,1,Talentiert,,8,8,4,5,2,0,3,0,0,21,8,5,12,17,8,,,4,no,94,"Brutaler Hieb I, Kämpfer I, Parade I, Prügler I, Standhaft I","Brutaler Hieb I: DS4Talent.brutalstrike.description, Kämpfer I: DS4Talent.fighter.description, Parade I: DS4Talent.parade.description, Prügler I: DS4Talent.birching.description, Standhaft I: DS4Talent.steady.description","Bihänder (2h) (WB+3, INI-2, GA-4)",,,
Ankmatur,Dungeonslayers Basisbox,Mensch,Mensch,NEK,10,Talentiert,,4,8,8,0,0,6,4,2,5,18,9,5,10,7,10,13,10,1,no,83,,,"mag. Langschwert +1 (WB+3, INI+1, GA-1)",mag. Robe +2 (PA+2),,"Feuerball (+3), Kontrollieren (-(GEI+AU)/2), Schattenpfeil (+2), Skelette erwecken (0), Terror (-(GEI+VE)/2), Totengespräch (0), Verwirren (-(GEI+AU)/2), Zombies erwecken (0), Öffnen (-SW)"
